,fee,last_month,estimate_value,admin,name,trade_first_status,set_up,cumulative_value,grade,manager,scale,last_3_month,last_half_year,type,fund_id,trade_sencond_status,last_3_yesr,setup_date,unit_value,last_year
0,0.15%,-2.99%,1.1212,华夏基金,华夏成长,开放申购  ,504.17%,3.5140,jjpj,董阳阳,49.88,-2.82%,0.19%,混合型,1,开放赎回,-12.97%,2001-12-18,1.1030,5.55%
1,0.00%,0.37%,1.1513,南方基金,南方中票C,暂停申购  ,15.14%,1.1514,jjpj,董浩,0.05,1.06%,0.32%,债券指数,23,开放赎回,5.45%,2013-05-03,1.1514,1.09%
2,0.12%,4.01%,1.0203,华富基金,华富保本混合,开放申购  ,6.34%,1.3780,jjpj,胡伟,5.17,0.10%,0.69%,保本型  ,28,开放赎回,2.47%,2013-04-24,1.0200,0.98%
3,0.00%,0.19%,1.0782,摩根士丹利华鑫基金,大摩双利增强债券C,开放申购  ,34.80%,1.3420,jjpj5,张雪,5.18,1.22%,1.32%,债券型,25,开放赎回,16.51%,2013-03-26,1.0780,2.74%
4,0.06%,-0.59%,1.0094,泰达宏利基金,泰达信用合利债券A,暂停申购  ,35.13%,1.3340,jjpj,庞宝臣,0.44,0.80%,-0.68%,定开债券,26,暂停赎回,9.34%,2013-03-19,1.0080,0.70%
5,0.08%,0.28%,1.0902,摩根士丹利华鑫基金,大摩双利增强债券A,开放申购  ,36.10%,1.3540,jjpj5,张雪,15.87,1.40%,1.58%,债券型,24,开放赎回,16.92%,2013-03-26,1.0900,3.18%
6,0.15%,-3.88%,1.7290,富国基金,富国宏观策略,开放申购  ,98.76%,1.9050,jjpj4,袁宜,3.14,-2.12%,11.69%,混合型,29,开放赎回,28.73%,2013-04-12,1.7100,18.75%
7,0.05%,0.41%,1.1656,南方基金,南方中票A,暂停申购  ,16.57%,1.1657,jjpj,董浩,0.37,1.15%,0.49%,债券指数,22,开放赎回,6.18%,2013-05-03,1.1657,1.40%
8,0.12%,1.60%,1.0187,长城基金,长城久利保本混合,开放申购  ,16.97%,1.8810,jjpj,储雯玉,27.50,0.40%,-0.78%,保本型  ,30,开放赎回,0.89%,2013-04-18,1.0160,-0.88%
9,0.15%,-2.80%,1.7315,华夏基金,华夏优势增长混合,开放申购  ,247.93%,2.8690,jjpj2,郑晓辉,65.07,-5.92%,-3.74%,混合型,21,开放赎回,-7.41%,2006-11-24,1.6990,0.53%
10,0.15%,-2.36%,2.3086,景顺长城基金,景顺长城品质投资混合,开放申购  ,127.40%,2.2740,jjpj4,詹成,5.99,1.65%,6.66%,混合型,20,开放赎回,37.99%,2013-03-19,2.2740,26.19%
11,0.00%,-0.59%,1.0074,泰达宏利基金,泰达信用合利债券B,暂停申购  ,33.10%,1.3180,jjpj,庞宝臣,0.07,0.70%,-0.78%,定开债券,27,暂停赎回,8.28%,2013-03-19,1.0060,0.30%
12,0.15%,-7.12%,1.6540,财通基金,财通可持续混合,限大额  (,138.75%,2.3140,jjpj3,夏钦,1.83,-5.78%,2.77%,混合型,17,),-1.96%,2013-03-27,1.6310,5.07%
13,0.08%,0.94%,1.1869,华夏基金,华夏纯债债券A,开放申购  ,21.82%,1.2170,jjpj4,柳万军,16.56,1.89%,1.54%,债券型,15,开放赎回,13.64%,2013-03-08,1.1870,3.13%
14,0.06%,0.22%,1.0120,华安基金,华安黄金易ETF联接A,开放申购  ,1.43%,1.0143,jjpj,徐宜宜,26.71,0.72%,-2.37%,联接基金,216,开放赎回,12.08%,2013-08-22,1.0143,-2.06%
15,0.15%,-0.42%,1.6508,广发基金,广发趋势优选灵活配置,开放申购  ,71.15%,1.7040,jjpj5,谭昌杰,1.67,0.37%,5.72%,混合型,215,开放赎回,38.24%,2013-09-11,1.6440,12.15%
16,0.00%,0.87%,1.1619,华夏基金,华夏纯债债券C,开放申购  ,19.29%,1.1920,jjpj3,柳万军,1.21,1.84%,1.22%,债券型,16,开放赎回,12.11%,2013-03-08,1.1620,2.65%
17,0.06%,-1.80%,1.1487,华夏基金,华夏聚利债券,开放申购  ,14.80%,1.1480,jjpj3,何家琪,9.22,-1.46%,-1.80%,债券型,14,开放赎回,6.69%,2013-03-19,1.1480,-0.43%
18,0.10%,1.29%,1.0129,国联安基金,国联安保本混合,开放申购  ,4.18%,1.1867,jjpj,沈丹,0.42,0.34%,1.15%,保本型  ,58,开放赎回,2.00%,2013-04-23,1.0129,1.35%
19,0.15%,-5.70%,1.4114,广发基金,广发成长优选混合,开放申购  ,40.60%,1.4060,jjpj5,王小松,0.93,-7.98%,-5.64%,混合型,214,开放赎回,14.59%,2013-12-11,1.4060,4.23%
20,0.08%,0.69%,1.0249,银华基金,银华信用四季红债券,开放申购  ,38.70%,1.3440,jjpj5,邹维娜,3.68,1.79%,1.48%,债券型,194,开放赎回,17.41%,2013-08-07,1.0250,3.19%
21,0.00%,0.46%,1.0919,长城基金,长城增强收益定开债券C,暂停申购  ,35.12%,1.3200,jjpj,蔡旻,0.62,1.49%,1.30%,定开债券,255,暂停赎回,16.52%,2013-09-06,1.0920,2.06%
22,0.07%,0.58%,1.0349,银华基金,银华信用季季红债券,开放申购  ,31.93%,1.2870,jjpj5,邹维娜,7.48,1.57%,1.76%,债券型,286,开放赎回,20.19%,2013-09-18,1.0350,5.49%
23,0.06%,0.46%,1.0859,长城基金,长城增强收益定开债券A,暂停申购  ,37.51%,1.3400,jjpj,蔡旻,20.84,1.59%,1.49%,定开债券,254,暂停赎回,17.86%,2013-09-06,1.0860,2.54%
24,0.00%,-1.78%,0.9379,长盛基金,长盛双月红定期债券C,暂停申购  ,14.06%,1.1370,jjpj,马文祥,0.11,-1.68%,-2.49%,定开债券,304,暂停赎回,3.97%,2013-09-24,0.9380,-1.78%
25,0.00%,0.40%,0.9989,中海基金,中海纯债债券C,开放申购  ,13.84%,1.1390,jjpj2,江小震,0.05,1.11%,0.50%,债券型,299,开放赎回,7.40%,2014-04-23,0.9990,1.32%
26,0.06%,-1.77%,0.9419,长盛基金,长盛双月红定期债券A,暂停申购  ,15.49%,1.1490,jjpj,马文祥,0.41,-1.57%,-2.38%,定开债券,303,暂停赎回,4.92%,2013-09-24,0.9420,-1.46%
27,0.08%,0.40%,1.0129,中海基金,中海纯债债券A,开放申购  ,15.33%,1.1530,jjpj2,江小震,0.59,1.20%,0.60%,债券型,298,开放赎回,7.78%,2014-04-23,1.0130,1.60%
28,0.00%,0.69%,1.0230,建信基金,建信安心回报两年定开债券C,暂停申购  ,25.14%,1.2320,jjpj,黎颖芳,0.80,1.74%,2.14%,定开债券,347,暂停赎回,12.29%,2013-11-05,1.0230,4.06%
29,0.00%,0.30%,0.9718,德邦基金,德邦德利货币A,开放申购  ,17.49%,3.86%,jjpj,张铮烁,1.69,0.99%,1.95%,货币型,300,开放赎回,9.91%,2013-09-16,3.5140%,3.86%
30,,0.34%,1.3339,华夏基金,华夏财富宝货币A,开放申购  ,19.21%,4.46%,jjpj,曲波,261.06,1.11%,2.13%,货币型,343,开放赎回,11.03%,2013-10-25,4.3720%,4.21%
31,0.00%,0.80%,1.1399,摩根士丹利华鑫基金,大摩添利18个月开放债券C,暂停申购  ,24.73%,1.2400,jjpj,李轶,3.36,1.60%,2.15%,定开债券,416,暂停赎回,20.40%,2014-09-02,1.1400,3.83%
32,0.00%,0.32%,1.0369,德邦基金,德邦德利货币B,开放申购  ,18.75%,4.10%,jjpj,张铮烁,35.69,1.05%,2.07%,货币型,301,开放赎回,10.70%,2013-09-16,3.7520%,4.10%
33,0.06%,0.59%,1.0240,建信基金,建信安心回报两年定开债券A,暂停申购  ,27.14%,1.2480,jjpj,黎颖芳,1.68,1.79%,2.28%,定开债券,346,暂停赎回,13.53%,2013-11-05,1.0240,4.42%
34,0.15%,0.20%,1.2141,国联安基金,国联安新精选灵活配置,开放申购  ,41.12%,1.3897,jjpj5,魏东,1.75,1.85%,3.32%,混合型,417,开放赎回,17.13%,2014-03-04,1.2027,7.96%
35,0.06%,0.78%,1.1559,摩根士丹利华鑫基金,大摩添利18个月开放债券A,暂停申购  ,26.41%,1.2560,jjpj,李轶,9.57,1.76%,2.21%,定开债券,415,暂停赎回,21.79%,2014-09-02,1.1560,4.24%
36,0.06%,1.38%,1.2529,鹏华基金,鹏华丰融定期开放债券,暂停申购  ,33.29%,1.3180,jjpj,刘涛,1.16,2.70%,4.33%,定开债券,345,暂停赎回,17.87%,2013-11-19,1.2530,6.73%
37,0.06%,-0.09%,1.0822,融通基金,融通通瑞债券A/B,开放申购  ,16.17%,1.1560,jjpj,何天翔,2.17,0.56%,1.60%,债券型,466,开放赎回,8.21%,2014-03-21,1.0810,4.85%
38,0.06%,-0.40%,1.0079,景顺长城基金,景顺长城鑫月薪定期支付债券,暂停申购  ,21.62%,1.2160,jjpj,袁媛,2.13,0.10%,0.30%,定开债券,465,暂停赎回,15.17%,2014-03-20,1.0080,2.01%
39,0.06%,0.77%,1.0529,富国基金,富国目标齐利一年期纯债债券,暂停申购  ,19.65%,1.1880,jjpj,王颀亮,14.65,1.94%,2.33%,定开债券,469,暂停赎回,13.52%,2014-07-25,1.0530,4.30%
40,0.08%,0.98%,1.0313,中信保诚基金,信诚惠报债券A,开放申购  ,3.10%,1.0310,jjpj,王国强,0.51,0.68%,0.98%,债券型,467,开放赎回,--,2016-04-07,1.0310,1.58%
41,0.15%,0.08%,1.2049,嘉实基金,嘉实绝对收益策略定期混合,暂停申购  ,20.50%,1.2050,jjpj,刘斌,0.73,1.01%,1.09%,混合型,414,暂停赎回,14.54%,2013-12-06,1.2050,3.52%
42,0.08%,0.31%,0.9620,国开泰富基金,国开岁月鎏金定开信用债A,暂停申购  ,22.94%,1.2240,jjpj,洪宴,0.51,0.73%,-7.23%,定开债券,412,暂停赎回,9.27%,2013-12-23,0.9620,-5.49%
43,0.00%,0.21%,0.9520,国开泰富基金,国开岁月鎏金定开信用债C,暂停申购  ,20.88%,1.2060,jjpj,洪宴,0.06,0.63%,-7.48%,定开债券,413,暂停赎回,7.93%,2013-12-23,0.9520,-5.92%
44,0.00%,0.31%,1.1248,嘉实基金,嘉实活期宝货币,限大额  (,18.75%,3.98%,jjpj,万晓西,93.80,1.03%,2.06%,货币型,464,),11.26%,2013-12-18,4.0550%,4.15%
45,0.08%,-3.69%,1.4406,国泰基金,国泰浓益灵活配置混合A,限大额  (,43.40%,1.4340,jjpj,樊利安,0.38,-2.32%,0.21%,混合型,526,),19.50%,2014-03-04,1.4340,9.63%
46,0.15%,-0.75%,1.6188,上投摩根基金,上投摩根民生需求,开放申购  ,97.44%,2.0180,jjpj3,帅虎,2.99,-0.63%,-4.76%,股票型,524,开放赎回,16.35%,2014-03-14,1.5790,-4.30%
