,redeem_status,name,bonus,cumulativevalue,netvalue,fund_id,daily_growth_rate,apply_status,netvalue_date
0,开放赎回,华夏双债增强债券A,,1.3930,1.173,47,0.17%,开放申购,2018-03-27
1,开放赎回,华夏双债增强债券A,,1.3910,1.171,47,0.09%,开放申购,2018-03-26
2,开放赎回,华夏双债增强债券A,,1.3900,1.17,47,-0.34%,开放申购,2018-03-23
3,开放赎回,华夏双债增强债券A,,1.3940,1.174,47,-0.09%,开放申购,2018-03-22
4,开放赎回,华夏双债增强债券A,,1.3950,1.175,47,-0.09%,开放申购,2018-03-21
5,开放赎回,华夏双债增强债券A,,1.3960,1.176,47,0.00%,开放申购,2018-03-20
6,开放赎回,长盛纯债债券C,,1.2180,1.06,52,-0.09%,开放申购,2018-03-27
7,开放赎回,长盛纯债债券C,,1.2190,1.061,52,0.00%,开放申购,2018-03-26
8,开放赎回,长盛纯债债券C,,1.2190,1.061,52,0.09%,开放申购,2018-03-23
9,开放赎回,长盛纯债债券C,,1.2180,1.06,52,0.09%,开放申购,2018-03-22
10,开放赎回,长盛纯债债券C,,1.2170,1.059,52,0.00%,开放申购,2018-03-21
11,开放赎回,华夏双债增强债券A,,1.3960,1.176,47,0.09%,开放申购,2018-03-19
12,开放赎回,华夏双债增强债券A,,1.3950,1.175,47,0.00%,开放申购,2018-03-16
13,开放赎回,华夏双债增强债券A,,1.3950,1.175,47,0.00%,开放申购,2018-03-15
14,开放赎回,华夏双债增强债券A,,1.3950,1.175,47,-0.09%,开放申购,2018-03-14
15,开放赎回,长盛纯债债券C,,1.2170,1.059,52,0.09%,开放申购,2018-03-20
16,开放赎回,长盛纯债债券C,,1.2160,1.058,52,0.00%,开放申购,2018-03-19
17,开放赎回,长盛纯债债券C,,1.2160,1.058,52,0.00%,开放申购,2018-03-16
18,开放赎回,长盛纯债债券C,,1.2160,1.058,52,0.09%,开放申购,2018-03-15
19,开放赎回,长盛纯债债券C,,1.2150,1.057,52,0.00%,开放申购,2018-03-14
20,开放赎回,鹏华双债增利债券,,1.2958,1.1758,54,0.06%,开放申购,2018-03-27
21,开放赎回,鹏华双债增利债券,,1.2951,1.1751,54,-0.05%,开放申购,2018-03-26
22,开放赎回,鹏华双债增利债券,,1.2957,1.1757,54,-0.25%,开放申购,2018-03-23
23,开放赎回,鹏华双债增利债券,,1.2987,1.1787,54,-0.11%,开放申购,2018-03-22
24,开放赎回,鹏华双债增利债券,,1.3000,1.18,54,-0.08%,开放申购,2018-03-21
25,开放赎回,鹏华双债增利债券,,1.3010,1.181,54,0.15%,开放申购,2018-03-20
